# TITLE  Co16 Fe16 Co8 Fe8 O32 [Cubic, Centric (-1 at origin)]
#        a         b         c       alpha     beta      gamma
# CELL    8.39400   8.39400   8.39400  90.00000  90.00000  90.00000
# SPCGRP  F d -3 m [Number  227]
#                    X         Y         Z         B         Occ       Spin      Charge
# Atom  Co1                    0.00000   0.00000   0.00000   0.00000   0.03000   0.00000   0.00000
# Atom  Fe1                    0.00000   0.00000   0.00000   0.00000   0.05333   0.00000   0.00000
# Atom  Co2                    0.62500   0.62500   0.62500   0.00000   0.01333   0.00000   0.00000
# Atom  Fe2                    0.62500   0.62500   0.62500   0.00000   0.02833   0.00000   0.00000
# Atom  O1                     0.37600   0.37600   0.37600   0.00000   0.16667   0.00000   0.00000
# COMMAND cif2hkl CoFe2O4_109044.cif --output CoFe2O4_109044.txt
# CIF2HKL (c) ILL 2012 E. Farhi <farhi@ill.eu> based on CrysFML
# DATE    12/06/2019 at 13:30:47
#
# Physical parameters:
# sigma_coh       423.44348 coherent   scattering cross section in [barn]
# sigma_inc       125.55785 incoherent scattering cross section in [barn]
# sigma_abs       953.76611 absorption scattering cross section in [barn]
# density           5.52328 in [g/cm^3]
# weight         3266.65747 in [g/mol]
# Vc              591.43481 volume of unit cell in [A^3]
# lattice_a         8.39400 lattice parameter a in [Angs]
# lattice_b         8.39400 lattice parameter b in [Angs]
# lattice_c         8.39400 lattice parameter c in [Angs]
# lattice_aa       90.00000 lattice angle alpha in [deg]
# lattice_bb       90.00000 lattice angle beta in [deg]
# lattice_cc       90.00000 lattice angle gamma in [deg]
# STRUCTURE FACTORS(NEUTRONS)
#
# Format parameters: Crystallographica format
# column_h  1
# column_k  2
# column_l  3
# column_j  4   multiplicity 'j'
# column_d  5   d-spacing 'd' in [Angs]
# column_F2 6   norm of scattering factor |F|^2 in [barn]
#
# List   992 reflections for lambda >     0.5000 [Angs], decreasing d-spacing.
# H   K   L     Mult    dspc                   |Fc|^2
   1    1    1     8       4.84628     135.96086
   2    2    0    12       2.96773     592.67444
   3    1    1    24       2.53089     518.43573
   2    2    2     8       2.42314     123.45608
   4    0    0     6       2.09850     175.05751
   3    3    1    24       1.92572     135.86494
   4    2    2    24       1.71342     592.38898
   5    1    1    24       1.61543     518.24799
   3    3    3     8       1.61543     518.24310
   4    4    0    12       1.48386    1256.50085
   5    3    1    48       1.41884     135.76630
   4    4    2    24       1.39900       0.00000
   6    2    0    24       1.32721     592.10370
   5    3    3    24       1.28007     518.06543
   6    2    2    24       1.26544     123.45282
   4    4    4     8       1.21157     174.74741
   7    1    1    24       1.17540     135.67018
   5    5    1    24       1.17540     135.67290
   6    4    2    48       1.12170     591.81842
   5    5    3    24       1.09281     517.85919
   7    3    1    48       1.09281     517.87317
   8    0    0     6       1.04925    1255.66992
   7    3    3    24       1.02549     135.56976
   6    4    4    24       1.01792       0.00000
   8    2    2    24       0.98924     591.53326
   6    6    0    12       0.98924     591.53339
   5    5    5     8       0.96926     517.69995
   7    5    1    48       0.96926     517.67621
   6    6    2    24       0.96286     123.46267
   8    4    0    24       0.93848     174.43762
   7    5    3    48       0.92136     135.48586
   9    1    1    24       0.92136     135.47844
   8    4    2    48       0.91586       0.00000
   6    6    4    24       0.89480     591.24866
   9    3    1    48       0.87993     517.48889
   8    4    4    24       0.85671    1254.83948
   9    3    3    24       0.84363     135.38744
   7    7    1    24       0.84363     135.38516
   7    5    5    24       0.84363     135.36826
   8    6    2    48       0.82310     590.96356
  10    2    0    24       0.82310     590.96320
   9    5    1    48       0.81148     517.31091
   7    7    3    24       0.81148     517.28217
   6    6    6     8       0.80771     123.43294
  10    2    2    24       0.80771     123.45928
   9    5    3    48       0.78274     135.27502
   8    6    4    48       0.77936       0.00000
  10    4    2    48       0.76626     590.67853
   7    7    5    24       0.75686     517.15259
  11    1    1    24       0.75686     517.11401
   8    8    0    12       0.74193    1254.00989
   9    5    5    24       0.73339     135.20584
   9    7    1    48       0.73339     135.18417
  11    3    1    48       0.73339     135.19118
   8    8    2    24       0.73060       0.00000
  10    4    4    24       0.73060       0.00000
  10    6    0    24       0.71978     590.39410
   8    6    6    24       0.71978     590.39478
   9    7    3    48       0.71197     516.95587
  11    3    3    24       0.71197     516.91302
  10    6    2    48       0.70942     123.44279
  12    0    0     6       0.69950     173.81882
   8    8    4    24       0.69950     173.81956
  11    5    1    48       0.69233     135.08832
   7    7    7     8       0.69233     135.06705
  12    2    2    24       0.68084     590.10895
  10    6    4    48       0.68084     590.10986
  11    5    3    48       0.67422     516.76422
   9    7    5    48       0.67422     516.69330
  12    4    0    24       0.66360    1253.17957
   9    9    1    24       0.65747     135.00256
  12    4    2    48       0.65546       0.00000
   8    8    6    24       0.65546       0.00000
  10    8    2    48       0.64761     589.82562
   9    9    3    24       0.64191     516.51544
  13    1    1    24       0.64191     516.55267
  11    7    1    48       0.64191     516.56287
  11    5    5    24       0.64191     516.51086
  10    6    6    24       0.64004     123.49213
  12    4    4    24       0.63272     173.51060
  13    3    1    48       0.62740     134.89674
  11    7    3    48       0.62740     134.88292
   9    7    7    24       0.62740     134.93372
  10    8    4    48       0.62565       0.00000
  12    6    2    48       0.61881     589.54095
   9    9    5    24       0.61383     516.42346
  13    3    3    24       0.61383     516.37964
   8    8    8     8       0.60578    1252.35352
  13    5    1    48       0.60111     134.80869
  11    7    5    48       0.60111     134.83328
  12    6    4    48       0.59957       0.00000
  10    8    6    48       0.59355     589.25793
  14    2    0    24       0.59355     589.25525
  10   10    0    12       0.59355     589.25739
  11    9    1    48       0.58914     516.16101
  13    5    3    48       0.58914     516.14594
  10   10    2    24       0.58770     123.47583
  14    2    2    24       0.58770     123.44907
  12    8    0    24       0.58202     173.20267
   9    9    7    24       0.57787     134.66588
  11    9    3    48       0.57787     134.73038
  12    8    2    48       0.57650       0.00000
  10   10    4    24       0.57114     588.97375
  12    6    6    24       0.57114     588.97339
